                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20589,                  0.968,                      1,                0.35884,               0.066792,             3.3241e-05,             3.3241e-05
                      2,                0.12667,                0.98973,                      1,                0.32667,                0.03349,             6.4927e-05,             6.4927e-05
                      3,                0.08316,                0.99698,                      1,                0.31971,             0.00018704,             9.4962e-05,             9.4962e-05
                      4,                0.06034,                0.99758,                      1,                0.31862,             9.2575e-05,             9.2575e-05,             9.2575e-05
                      5,                0.06143,                0.99698,                      1,                 0.3189,               9.01e-05,               9.01e-05,               9.01e-05
                      6,                0.03681,                0.99819,                      1,                0.31738,             8.7625e-05,             8.7625e-05,             8.7625e-05
                      7,                0.03177,                0.99698,                      1,                0.31687,              8.515e-05,              8.515e-05,              8.515e-05
                      8,                0.04136,                0.99638,                      1,                0.31899,             8.2675e-05,             8.2675e-05,             8.2675e-05
                      9,                0.03165,                0.99819,                      1,                 0.3163,               8.02e-05,               8.02e-05,               8.02e-05
                     10,                0.02947,                0.99819,                      1,                0.31516,             7.7725e-05,             7.7725e-05,             7.7725e-05
                     11,                0.02068,                      1,                      1,                0.31413,              7.525e-05,              7.525e-05,              7.525e-05
                     12,                0.02507,                0.99758,                      1,                0.31556,             7.2775e-05,             7.2775e-05,             7.2775e-05
                     13,                0.02021,                0.99819,                      1,                0.31538,               7.03e-05,               7.03e-05,               7.03e-05
                     14,                 0.0176,                0.99819,                      1,                0.31479,             6.7825e-05,             6.7825e-05,             6.7825e-05
                     15,                0.01949,                0.99879,                      1,                0.31532,              6.535e-05,              6.535e-05,              6.535e-05
                     16,                0.01882,                 0.9994,                      1,                0.31516,             6.2875e-05,             6.2875e-05,             6.2875e-05
                     17,                0.01717,                 0.9994,                      1,                0.31463,               6.04e-05,               6.04e-05,               6.04e-05
                     18,                0.01223,                      1,                      1,                 0.3141,             5.7925e-05,             5.7925e-05,             5.7925e-05
                     19,                0.01397,                0.99879,                      1,                0.31532,              5.545e-05,              5.545e-05,              5.545e-05
                     20,                 0.0121,                0.99879,                      1,                0.31466,             5.2975e-05,             5.2975e-05,             5.2975e-05
                     21,                0.01538,                      1,                      1,                0.31382,               5.05e-05,               5.05e-05,               5.05e-05
                     22,                0.00992,                0.99879,                      1,                0.31433,             4.8025e-05,             4.8025e-05,             4.8025e-05
                     23,                0.00701,                0.99698,                      1,                0.31677,              4.555e-05,              4.555e-05,              4.555e-05
                     24,                0.00876,                 0.9994,                      1,                0.31437,             4.3075e-05,             4.3075e-05,             4.3075e-05
                     25,                0.00766,                0.99879,                      1,                0.31406,               4.06e-05,               4.06e-05,               4.06e-05
                     26,                0.00872,                0.99819,                      1,                0.31521,             3.8125e-05,             3.8125e-05,             3.8125e-05
                     27,                0.01038,                      1,                      1,                0.31363,              3.565e-05,              3.565e-05,              3.565e-05
                     28,                0.00498,                 0.9994,                      1,                0.31398,             3.3175e-05,             3.3175e-05,             3.3175e-05
                     29,                 0.0055,                      1,                      1,                0.31379,               3.07e-05,               3.07e-05,               3.07e-05
                     30,                0.00524,                 0.9994,                      1,                0.31376,             2.8225e-05,             2.8225e-05,             2.8225e-05
                     31,                0.00807,                0.99879,                      1,                0.31427,              2.575e-05,              2.575e-05,              2.575e-05
                     32,                0.00433,                      1,                      1,                 0.3135,             2.3275e-05,             2.3275e-05,             2.3275e-05
                     33,                0.00602,                      1,                      1,                0.31358,               2.08e-05,               2.08e-05,               2.08e-05
                     34,                0.00505,                 0.9994,                      1,                0.31362,             1.8325e-05,             1.8325e-05,             1.8325e-05
                     35,                0.00303,                 0.9994,                      1,                0.31361,              1.585e-05,              1.585e-05,              1.585e-05
                     36,                0.00494,                 0.9994,                      1,                0.31374,             1.3375e-05,             1.3375e-05,             1.3375e-05
                     37,                0.00381,                 0.9994,                      1,                0.31363,               1.09e-05,               1.09e-05,               1.09e-05
                     38,                  0.002,                 0.9994,                      1,                0.31368,              8.425e-06,              8.425e-06,              8.425e-06
                     39,                0.00244,                 0.9994,                      1,                0.31375,               5.95e-06,               5.95e-06,               5.95e-06
                     40,                0.00178,                 0.9994,                      1,                0.31374,              3.475e-06,              3.475e-06,              3.475e-06
